SRA,BioProject,Biosample,Experiment,Bases,Bytes,create_date,Strain,Genotype,Experiment.1,Condition,Post_induction,Replicates,P_aas,P_tesA,P_rpaA,P_kaiBC,P_rpaA_D53E,P_OX_plasmid,P_Subjective_dawn,P_Subjective_dusk,P_N (mg/L),P_np_kaiBC,P_p0050_kaiBC,P_rel,P_relA,P_relA_E335Q,P_Light (umol photons m-2 s-1),P_sigF,P_rpoD2,P_rpoD6,P_rpoD5,P_pAM2991-xylEAB,P_pAM2991-galP,P_pilB::Tn5,P_BG-11,P_CM,P_Biofilm,Project_tag,SRA_study_id,Ref_condition,Experiment_type,Project_replicates,Single_paired,RNASeq_samples_n,Data_loc,Data_link,Paper,Culture,Growth_Phase,Media,CO2 (%),Light (uE*m-2*sec-1),Temp (°C),Agitation (rpm),OD,pH,Notes,Time_delta,Condition_pi,Project_condition_pi,Passed_Min_Reads,Passed_Global_Corr,passed_replicate_corr,passed_timeseries_corr,Overall_pass
SRR807396,PRJNA196229,SAMN01999000,SRX259777,4.05 G,2.64 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,100h,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,WT_100h,FFA_WT_100h,True,True,True,False,True
SRR807397,PRJNA196229,SAMN01999001,SRX259778,2.71 G,1.77 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,100h,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,WT_100h,FFA_WT_100h,True,True,True,False,True
SRR807398,PRJNA196229,SAMN01999002,SRX259779,2.90 G,1.91 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,100h,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,WT_100h,FFA_WT_100h,True,True,True,False,True
SRR807399,PRJNA196229,SAMN01999003,SRX259780,3.19 G,2.08 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,240h,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,WT_240h,FFA_WT_240h,True,True,True,False,True
SRR807400,PRJNA196229,SAMN01999004,SRX259781,1.67 G,1.09 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,240h,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,WT_240h,FFA_WT_240h,True,True,True,False,True
SRR807401,PRJNA196229,SAMN01999005,SRX259782,1.63 G,1.07 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,240h,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,WT_240h,FFA_WT_240h,True,True,True,False,True
SRR807402,PRJNA196229,SAMN01999006,SRX259783,3.18 G,2.05 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas-,RNA-seq,SE01,100h,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,SE01_100h,FFA_SE01_100h,True,True,True,False,True
SRR807403,PRJNA196229,SAMN01999007,SRX259784,2.22 G,1.43 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas-,RNA-seq,SE01,100h,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,SE01_100h,FFA_SE01_100h,True,True,True,False,True
SRR807404,PRJNA196229,SAMN01999008,SRX259785,2.71 G,1.75 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas-,RNA-seq,SE01,100h,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,4 days 04:00:00,SE01_100h,FFA_SE01_100h,True,True,True,False,True
SRR807405,PRJNA196229,SAMN01999009,SRX259786,7.48 G,4.72 Gb,2015-11-15,Synechococcus elongatus PCC 7942 = FACHB-805,aas-,RNA-seq,SE01,240h,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,1.0,0.0,1.0,0.0,0.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,FFA,SRP020509,WT_100h,Genetic_engineering,True,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1.0,60,30.0,150.0,0.15,,,10 days 00:00:00,SE01_240h,FFA_SE01_240h,True,True,True,False,True
