,Regulator_Name,regulatoryGene,target_name,targetGene
0,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08270
1,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01925
2,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10095
3,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08445
4,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07780
5,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10125
6,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07170
7,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02830
8,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS04590
9,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS04375
10,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12135
11,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08860
12,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10135
13,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13255
14,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02390
15,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07940
16,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11720
17,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09380
18,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11420
19,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08865
20,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02910
21,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13250
22,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02160
23,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08030
24,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01615
25,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13270
26,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12995
27,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS03075
28,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12085
29,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07500
30,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07115
31,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12530
32,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13970
33,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS06940
34,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10070
35,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS05895
36,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00510
37,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00920
38,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00060
39,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13925
40,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00260
41,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11825
42,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS03295
43,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11585
44,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13855
45,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01325
46,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11105
47,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12825
48,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00480
49,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09165
50,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00515
51,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS03365
52,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01920
53,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS03305
54,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12570
55,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10555
56,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12815
57,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10020
58,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11520
59,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS04345
60,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07895
61,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02400
62,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00065
63,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01255
64,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS05880
65,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01360
66,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07935
67,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00275
68,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02460
69,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12620
70,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS11460
71,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS06785
72,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS06235
73,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01250
74,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02015
75,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08395
76,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10445
77,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS14100
78,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09295
79,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01610
80,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09285
81,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02165
82,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08005
83,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS05925
84,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS08885
85,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01025
86,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09065
87,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13190
88,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS13645
89,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09945
90,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS00660
91,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS04410
92,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS04125
93,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10710
94,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS09255
95,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS01880
96,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS12170
97,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS10075
98,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02835
99,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS05370
100,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS07695
101,RpaA,SYNPCC7942_RS00480,,SYNPCC7942_RS02210
102,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07150
103,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01925
104,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09105
105,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11950
106,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07165
107,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11850
108,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02930
109,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS12580
110,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07025
111,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10125
112,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01200
113,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04590
114,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08150
115,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08860
116,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11505
117,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08460
118,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02390
119,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07940
120,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10785
121,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11910
122,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09380
123,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS06425
124,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11905
125,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08865
126,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04735
127,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS06760
128,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02120
129,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01320
130,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00795
131,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02160
132,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08030
133,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02125
134,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10300
135,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS13270
136,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08935
137,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10050
138,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS13970
139,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05345
140,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10585
141,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10965
142,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10070
143,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS12275
144,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00510
145,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00920
146,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03580
147,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10840
148,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09325
149,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01635
150,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS13925
151,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00260
152,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07445
153,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03590
154,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01090
155,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09365
156,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00515
157,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02310
158,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11735
159,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03465
160,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05595
161,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01920
162,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04850
163,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03450
164,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10395
165,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS12720
166,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10400
167,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08355
168,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS13800
169,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02030
170,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09705
171,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01220
172,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07895
173,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10195
174,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10955
175,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05740
176,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02400
177,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03050
178,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07735
179,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09025
180,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01670
181,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03930
182,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05080
183,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07435
184,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01665
185,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS06315
186,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01000
187,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09425
188,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05880
189,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01360
190,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04545
191,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03575
192,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01515
193,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11460
194,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02805
195,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS12420
196,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05140
197,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10055
198,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01855
199,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03015
200,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08395
201,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07145
202,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS12320
203,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS02165
204,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04845
205,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08005
206,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11800
207,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09335
208,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00490
209,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03985
210,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS11955
211,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05725
212,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00460
213,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09065
214,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08105
215,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01100
216,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04485
217,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS00660
218,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04560
219,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS03440
220,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04410
221,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04125
222,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS09080
223,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS07720
224,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01240
225,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10975
226,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04640
227,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS01575
228,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS06270
229,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10075
230,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05370
231,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS05285
232,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS10780
233,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS04390
234,RpaB,SYNPCC7942_RS07435,,SYNPCC7942_RS08210
235,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS00120
236,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS00195
237,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS00455
238,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS00510
239,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01245
240,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01285
241,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01415
242,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01485
243,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01555
244,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01685
245,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01710
246,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01720
247,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01785
248,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01925
249,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS01980
250,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS02455
251,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS02470
252,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS02535
253,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS02565
254,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS02830
255,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS02895
256,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS03050
257,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS03125
258,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS03280
259,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS03320
260,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS03325
261,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS04995
262,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05345
263,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05420
264,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05500
265,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05510
266,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05625
267,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05680
268,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS05925
269,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS06280
270,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS06305
271,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS06510
272,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS06580
273,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS06615
274,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07145
275,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07150
276,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07595
277,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07650
278,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07755
279,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07935
280,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS07940
281,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS08245
282,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09165
283,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09285
284,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09290
285,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09295
286,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09325
287,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09380
288,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS09750
289,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS10075
290,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS10205
291,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS10400
292,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS10445
293,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS11175
294,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS11520
295,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS11770
296,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS11890
297,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS11920
298,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS11950
299,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS12470
300,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS12805
301,RpoD6,SYNPCC7942_RS07940,,SYNPCC7942_RS13040
302,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00020
303,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00105
304,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00135
305,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00195
306,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00425
307,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00455
308,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS00880
309,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01245
310,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01250
311,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01285
312,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01485
313,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01610
314,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01720
315,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01785
316,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01880
317,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01885
318,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS01995
319,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02095
320,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02455
321,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02460
322,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02565
323,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02770
324,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02830
325,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02895
326,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS02920
327,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS03050
328,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS03430
329,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS03440
330,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS03605
331,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS03920
332,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS04045
333,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS04085
334,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS04120
335,RpoD5,SYNPCC7942_RS09380,,SYNPCC7942_RS04125
