"","wt_lowlight_dawn_0.5h","wt_lowlight_dawn_2h","wt_lowlight_dawn_4h","wt_lowlight_dawn_6h","wt_lowlight_dawn_8h","wt_lowlight_dawn_9h","wt_lowlight_dawn_10h","wt_lowlight_dawn_12h","wt_clearday_dawn_2h","wt_clearday_dawn_4h","wt_clearday_dawn_6h","wt_clearday_dawn_8h","wt_clearday_dawn_9h","wt_clearday_dawn_10h","wt_clearday_dawn_12h","wt_highlight_pulse_8h","wt_highlight_pulse_8.25h","wt_highlight_pulse_8.5h","wt_highlight_pulse_9h","wt_highlight_pulse_9.25h","wt_highlight_pulse_9.5h","wt_highlight_pulse_10h","wt_shade_pulse_8h","wt_shade_pulse_8.25h","wt_shade_pulse_8.5h","wt_shade_pulse_9h","wt_shade_pulse_9.25h","wt_shade_pulse_9.5h","wt_shade_pulse_10h"
"SYNPCC7942_RS00005",0.232780309932785,0.268043352760177,0.507750011609724,0.132131244245727,0.401744089421371,0.400010543146962,0.510445106732481,0.45641766391939,0.424652791283555,0.343442131307311,0.172390588126589,0.0481293133894161,0.106193515202117,0.208813478039699,0.693102610909629,0.202870134428982,0.244431788498609,0.44183345994577,0.46463854888845,0.170259557270016,0.240466124461562,0.423483823043002,-0.0155193620706661,-0.0729891117859495,-0.257350128127166,-0.0209056608265138,0.191302264403408,0.118763214793799,0.31478310012819
"SYNPCC7942_RS00010",0.112060460551902,-0.600702030139614,-0.552722236878342,-0.727620872390312,-0.424895907880353,-0.26325209806551,0.12194269994099,-0.0874061333172727,-0.185281480898858,-0.41211539571186,-0.290314339577196,-0.536359387792867,-0.739107257595261,-0.32527632887283,0.362878365052056,-0.399843527742729,-0.128376118445396,-0.157373288295263,-0.138496170718965,-0.561289551437309,-0.492997961697005,-0.184908517822835,-0.810964371282378,-1.07065874213919,-0.805700857184971,-0.326744938391825,-0.255032049457511,-0.197142141359395,-0.198519802528193
"SYNPCC7942_RS00015",0.0366760911931392,0.629701229694749,0.151502812681239,0.177983295428251,0.163327315648841,0.24708334607273,0.225735788794234,0.334698848760209,0.599397316543342,0.661095506001766,0.592609478147885,0.190895514062129,0.264796748773808,0.212076750488084,0.289221108752868,0.121106555464089,0.1509752516312,0.557018151152507,0.532847567555851,0.295035261284721,0.274672270400392,0.191168307007536,0.475246116500005,0.271622008359931,0.00279784594220383,-0.0590303936373574,-0.150679573082684,0.033337280507589,0.242738266983132
"SYNPCC7942_RS00020",-0.364079733338522,-0.0617135705946952,-0.577435486519758,-0.914705969157562,-1.33229342415801,-1.47377247647419,-1.59559394837708,-1.77331679831325,-0.0974321236233737,-0.0456228880596966,-0.590711378634618,-1.34401504641003,-1.57027641012084,-1.62529186037016,-1.8173058211677,-1.31847735558448,-1.43023166976051,-1.21193388782678,-1.51015189790475,-1.65254451774407,-1.94407354123026,-1.93205326208652,-1.16359912784787,-1.44141872459792,-1.88482166706832,-1.75041047097693,-1.8377925839643,-1.73009567391393,-1.65608512164385
"SYNPCC7942_RS00025",-0.333149730203217,-0.736804308942221,-0.829599504213052,-0.685764772907197,-0.413950509448562,-0.586786748717996,-0.714707370768751,-0.729123613313394,-0.642508170392973,-0.43225907071013,-0.704966289517177,-0.563796768028785,-0.115944976138328,-0.271579806179758,-0.526256851437676,-0.336545687265458,-0.79872798426854,-0.64695056678495,-0.59450739926035,-0.0437998964986211,-0.0493775431928807,-0.343700118140258,-0.401614919197894,-0.292189770358192,-0.298382321241786,-0.172368444239584,-0.280635328166408,-0.552677575144046,-0.378359805785951
"SYNPCC7942_RS00030",-0.0401412177328508,-0.977981914915007,-0.82577355411846,-0.773602506964397,-1.01893373744841,-0.788914474090342,-1.33932782231464,-1.25640457205009,-0.988735123228948,-1.77092843679982,-1.15813008966539,-1.40013194778783,-1.35386412932911,-1.67448432475604,-3.08110465505878,-1.0860888000983,-0.457610958018332,-1.00056588410483,-1.18984908932281,-1.32861619781127,-1.17676640728864,-1.4483986198272,-1.57530968087523,-1.3944032154409,-1.19896674930564,-1.94061076111455,-0.835502044915604,-1.39724745878834,-0.954116042949618
"SYNPCC7942_RS00035",-0.247080802408803,-0.842178326862272,-0.721311966770615,-0.34976726678334,-0.246303585962249,-0.796589995994383,-1.01649827044015,-0.580868193432247,-0.993410847625836,-0.448634536131344,-0.520432244103521,-0.583764202086911,-0.555483908866094,-1.05219118901054,-1.15437079238182,-0.49301937447175,-0.262240069905593,-0.171415028333326,-0.587628496082011,-0.364841584397251,-0.333222397574631,-0.399358979157868,-0.22827950176268,-0.688146458116093,-0.435748965437805,-0.588904428660638,-0.332762060954806,-0.468973126829943,-0.938915749806124
"SYNPCC7942_RS00040",0.695255175885738,0.154915374783438,0.340256812453596,0.523137932074948,0.442013403797826,-0.113089766988685,0.0603853180059305,-0.155441590060625,-0.539049976014118,-0.211865619422534,0.0308915928587578,0.110006664483565,0.0454210631660995,-0.274818828318196,-0.273856328948292,0.136358045199868,0.197408646066122,0.328880528747502,-0.204716014534671,0.304820076681818,-0.209937197014065,0.128430659925394,0.197028473425527,0.486835141545541,0.840603039337625,0.181512073339648,0.263090523184562,-0.0380699291172796,-0.120275286075982
"SYNPCC7942_RS00045",0.342085378975334,0.845231797787528,0.186949206842998,-0.159276296972893,-0.486984869500924,-0.249473743480269,0.029107820253028,-0.132400197871855,1.61015216601539,1.21520411103921,0.876265242542911,0.184868976313347,0.184867325243875,-0.0454431157994447,-0.555822451626093,-0.516624997555221,0.458453839283899,1.01800570270735,1.13493333136778,0.20495135314854,-0.148497299075247,-0.425691053113691,0.412165146705787,-0.278897492661603,-0.793339450396874,-0.846297803413917,-0.808054218739537,0.14406655989623,0.164452073317683
"SYNPCC7942_RS00050",0.406088211713066,0.314642053996139,0.552072574778995,0.599614209931635,0.566567942478502,0.215477626385498,0.0333641368497419,0.216015640755261,0.488313832622264,0.283948156462856,0.496814446986642,0.743062254366536,0.4478597690614,0.600374682186763,0.32507711024911,0.327467895588108,0.445278651531919,0.640302679520575,0.462310578401921,0.403895887100637,0.576673603682295,0.278142616131392,0.556884966905398,0.696704869526731,0.815185075696266,0.582571207199817,0.463345175786278,0.42435600470558,0.420705523844917
