Entry,Protein,mapped_name,refseq_locus,genbank_locus,has_annotation_match,missing_with_match,missing_without_match,double_hit,match_hit,percent_id,coverage,drop_proteins,subset_proteins,rename_proteins
Q31KQ3,Q31KQ3_SYNE7,Q31KQ3,SYNPCC7942_RS14100,Synpcc7942_2336,True,False,False,False,,,,False,False,False
A8DZ36,A8DZ36_SYNE7,A8DZ36,SYNPCC7942_RS13330,,True,False,False,False,,,,False,False,False
Q31Q04,Q31Q04_SYNE7,Q31Q04,SYNPCC7942_RS04315,Synpcc7942_0834,True,False,False,False,,,,False,False,False
Q31M40,Q31M40_SYNE7,Q31M40,SYNPCC7942_RS09380,Synpcc7942_1849,True,False,False,False,,,,False,False,False
Q31RP2,Q31RP2_SYNE7,Q31RP2,SYNPCC7942_RS01250,Synpcc7942_0245,True,False,False,False,,,,False,False,False
Q31QV1,ACP_SYNE7,Q31QV1,SYNPCC7942_RS02725,Synpcc7942_0536,True,False,False,False,,,,False,False,False
Q31MS7,Q31MS7_SYNE7,Q31MS7,SYNPCC7942_RS08225,Synpcc7942_1612,True,False,False,False,,,,False,False,False
Q31KN3,Q31KN3_SYNE7,Q31KN3,SYNPCC7942_RS11970,Synpcc7942_2356,True,False,False,False,,,,False,False,False
O06865,AMPA_SYNE7,O06865,SYNPCC7942_RS06095,Synpcc7942_1190,True,False,False,False,,,,False,False,False
Q31P96,ANMK_SYNE7,Q31P96,SYNPCC7942_RS05610,Synpcc7942_1093,True,False,False,False,,,,False,False,False
Q31R17,Q31R17_SYNE7,Q31R17,SYNPCC7942_RS02400,Synpcc7942_0470,True,False,False,False,,,,False,False,False
Q31NA6,ARGC_SYNE7,Q31NA6,SYNPCC7942_RS07330,Synpcc7942_1433,True,False,False,False,,,,False,False,False
Q54771,Q54771_SYNE7,Q54771,SYNPCC7942_RS09890,Synpcc7942_1949,True,False,False,False,,,,False,False,False
Q31NG9,Q31NG9_SYNE7,Q31NG9,SYNPCC7942_RS07010,Synpcc7942_1370,True,False,False,False,,,,False,False,False
Q31RS5,AROC_SYNE7,Q31RS5,SYNPCC7942_RS01075,Synpcc7942_0212,True,False,False,False,,,,False,False,False
Q31QN8,Q31QN8_SYNE7,Q31QN8,SYNPCC7942_RS03075,Synpcc7942_0599,True,False,False,False,,,,False,False,False
Q31K33,Q31K33_SYNE7,Q31K33,SYNPCC7942_RS12990,Synpcc7942_2556,True,False,False,False,,,,False,False,False
P37278,ATCL_SYNE7,P37278,SYNPCC7942_RS05555,Synpcc7942_1082,True,False,False,False,,,,False,False,False
Q31MY2,Q31MY2_SYNE7,Q31MY2,SYNPCC7942_RS07940,Synpcc7942_1557,True,False,False,False,,,,False,False,False
Q31RF6,ATP6_SYNE7,Q31RF6,SYNPCC7942_RS01685,Synpcc7942_0331,True,False,False,False,,,,False,False,False
Q31N79,Q31N79_SYNE7,Q31N79,SYNPCC7942_RS07470,Synpcc7942_1460,True,False,False,False,,,,False,False,False
Q31QT1,Q31QT1_SYNE7,Q31QT1,SYNPCC7942_RS02830,Synpcc7942_0556,True,False,False,False,,,,False,False,False
Q31N33,Q31N33_SYNE7,Q31N33,SYNPCC7942_RS07695,Synpcc7942_1506,True,False,False,False,,,,False,False,False
