locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS00005,110,1237,1128,+,Synpcc7942_0001,WP_070105208.1,dnaN,DNA polymerase III subunit beta,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",L,,2.7.7.7,ko:K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",,,,"DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3",False,,,,False,0.0168,False,,,
SYNPCC7942_RS00010,1262,2134,873,+,Synpcc7942_0002,WP_011243805.1,,hypothetical protein,PFAM PRC-barrel domain,S,,,,,,,,,,,,PRC,False,,,,False,0.0282,False,,,
SYNPCC7942_RS00015,2178,4511,2334,+,Synpcc7942_0003,WP_011243804.1,purL,phosphoribosylformylglycinamidine synthase subunit PurL,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,F,,6.3.5.3,ko:K01952,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R04463,"RC00010,RC01160","ko00000,ko00001,ko00002,ko01000",,,,"AIRS,AIRS_C",False,,,,False,0.008,False,,,
SYNPCC7942_RS00020,4596,6077,1482,+,Synpcc7942_0004,WP_011243803.1,purF,amidophosphoribosyltransferase,Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,F,,2.4.2.14,ko:K00764,"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130",M00048,R01072,"RC00010,RC02724,RC02752","ko00000,ko00001,ko00002,ko01000,ko01002",,,,"GATase_6,GATase_7,Pribosyltran",False,,,,False,0.0137,False,,,
SYNPCC7942_RS00025,6111,7706,1596,-,Synpcc7942_0005,WP_011377397.1,,permease,secondary active sulfate transmembrane transporter activity,P,,,ko:K06901,,,,,"ko00000,ko02000",2.A.1.40,,,,False,,,,False,0.0069,False,,,
SYNPCC7942_RS00030,7779,8192,414,-,Synpcc7942_0006,WP_011243801.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.011,False,,,
SYNPCC7942_RS00035,8189,8539,351,-,Synpcc7942_0007,WP_011377398.1,,YtxH domain-containing protein,YtxH-like protein,S,,,,,,,,,,,,YtxH,False,,,,False,0.011,False,,,
SYNPCC7942_RS00040,8536,8859,324,-,Synpcc7942_0008,WP_011377399.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0096,False,,,
SYNPCC7942_RS00045,8964,10166,1203,+,Synpcc7942_0009,WP_011243798.1,argG,argininosuccinate synthase,Belongs to the argininosuccinate synthase family. Type 1 subfamily,F,"GO:0000050,GO:0000053,GO:0003674,GO:0003824,GO:0004055,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006575,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0019627,GO:0019752,GO:0034641,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:0072350,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",6.3.4.5,ko:K01940,"ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,ko05418,map00220,map00250,map01100,map01110,map01130,map01230,map05418","M00029,M00844,M00845",R01954,"RC00380,RC00629","ko00000,ko00001,ko00002,ko01000,ko04147",,,iJN678.argG,Arginosuc_synth,False,,,,False,0.0061,False,,,
SYNPCC7942_RS00050,10252,10878,627,-,Synpcc7942_0010,WP_011243797.1,,DedA family protein,SNARE associated Golgi protein,S,,,ko:K03975,,,,,ko00000,,,,SNARE_assoc,False,,,,False,0.0054,False,,,
